observation_date,condo_price,wages,unemployment,cpi,mortgage
2003-10-01,162.6375737,1054,597500,84.90193246,5.833552
2004-01-01,165.2017339,1054.8,609400,85.62040398,5.824818
2004-04-01,173.1892828,1065.4,599900,86.29301562,5.82458
2004-07-01,183.5513333,1091.4,578600,86.84333423,5.918571
2004-10-01,190.3260218,1124.7,550700,87.77581854,5.992869
2005-01-01,198.3054901,1086.5,505400,88.21913076,6.225458
2005-04-01,206.0496592,1116.5,485400,88.81530925,6.282224
2005-07-01,216.7104286,1167.2,476400,90.16053252,6.393983
2005-10-01,224.0863996,1166.7,470100,91.00129707,6.489464
2006-01-01,230.3375799,1219,463300,91.47518254,6.508052
2006-04-01,229.8166575,1194.9,456700,92.30066046,6.697438
2006-07-01,228.7242658,1186.5,447200,93.17199826,6.844405
2006-10-01,227.1714272,1230.2,421000,92.78983256,6.940874
2007-01-01,227.804843,1362.1,420900,93.6995398,6.984826
2007-04-01,227.7437047,1270.1,417400,94.76073752,7.038587
2007-07-01,227.1517311,1266.9,417800,95.36058481,7.108492
2007-10-01,226.5318552,1276.7,435600,96.53031759,7.214
2008-01-01,229.220835,1372.4,444700,97.57592295,7.108276
2008-04-01,227.0044841,1284.8,462400,98.84532455,6.900551
2008-07-01,223.2168376,1294.3,486700,100.3694014,6.964111
2008-10-01,217.9236323,1275,529600,98.0707511,6.948448
2009-01-01,211.1895941,1181.5,598900,97.3961522,6.901753
2009-04-01,201.5628781,1251.6,673500,97.91406316,6.730792
2009-07-01,196.5101159,1262.5,752700,98.75650924,6.655727
2009-10-01,197.8402826,1293.1,811700,99.52970689,6.555581
2010-01-01,199.3558586,1270.3,831000,99.68746489,6.414431
2010-04-01,200.9016644,1320.1,837100,99.65230564,6.265596
2010-07-01,198.8898285,1306.5,832500,99.94443311,6.169604
2010-10-01,197.9373641,1318.4,824800,100.7537072,6.002441
2011-01-01,195.4194328,1351.1,813900,101.8289686,5.744345
2011-04-01,196.5458232,1324.2,799100,102.9867778,5.66618
2011-07-01,197.891257,1353.9,772800,103.6583194,5.582065
2011-10-01,195.865338,1299.1,772400,104.1236444,5.470844
2012-01-01,193.3879532,1328.4,796300,104.7100394,5.323623
2012-04-01,198.0448795,1336,823700,104.9310841,5.220814
2012-07-01,204.0224094,1337.9,840000,105.4048167,5.174003
2012-10-01,207.7066799,1386.9,829600,106.1057086,4.975793
2013-01-01,212.15059,1304.9,811300,106.5322055,5.08694
2013-04-01,215.3104769,1352.6,768200,106.4155685,4.997907
2013-07-01,219.9589902,1348.2,757300,106.9911101,4.932456
2013-10-01,227.0848171,1354.3,736300,107.386728,4.909877
2014-01-01,232.6727659,1400.9,707500,108.0497091,4.822877
2014-04-01,235.6042109,1378.5,688600,108.6142442,4.748963
2014-07-01,238.7675641,1390.1,638600,108.8982698,4.682859
2014-10-01,240.1933553,1399.6,608400,108.651085,4.616633
2015-01-01,245.2173588,1402,574500,107.9336835,4.612244
2015-04-01,250.4740993,1420.4,549600,108.6474162,4.539963
2015-07-01,255.1878591,1429.6,534200,109.0622953,4.522106
2015-10-01,256.9599565,1436.7,511500,109.0950087,4.520485
2016-01-01,259.9348998,1387.9,491500,109.0768176,4.524352
2016-04-01,258.9680825,1446.8,465000,109.8124101,4.504874
2016-07-01,261.319009,1482.2,468000,110.3150345,4.502895
2016-10-01,263.2013684,1405.8,463400,111.0622449,4.482752
2017-01-01,267.1775355,1469.1,452100,111.8747291,4.456516
2017-04-01,268.6974478,1469.7,460400,111.9027037,4.446315
2017-07-01,268.4647255,1481.2,455200,112.4927675,4.449765
2017-10-01,271.7072862,1492.7,450100,113.4121053,4.43261
2018-01-01,274.7649795,1506.3,457000,114.3938126,4.404818
